bas10,model_use,gen_aquifer,bfi,ppt81_10,recharge,strmden,sand,relief,slopeave,wtdepave,rockdepave,hga,weg,sb_idw_c,be_idw_c,bi_idw_c,as_idw_c2,mo_idw_a,percent_ti,ivr,sls,lc11,lc82,Cv,D,D3,DSe,De_geo,M,Oe,Pzg1,Pzg2,Pzmi,Q,Qp,S3,Se,Tm,Tmc,Tp,Tpc,Tpv,Tr,uK3
0,c,carb_sdst,27,33.219291,17,0.066471,11.2203,198,5.775,6,23.334999,0,7.428999,0.161918,0.389346,0.045001,1.94321,0.906826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,carb_sdst,27,33.219291,17,0.062656,10.3824,270,5.775,6,23.334999,0,7.428999,0.161918,0.389346,0.045001,1.94321,0.906826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,21,61.738189,99,0.227478,20.541,13,1.413499,1.638,60,1,4.397999,0.371188,1.02286,0.199,4.019579,0.454977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,c,sg,62,66.237403,440,0.080349,73.478996,41,3.109999,5.2175,53,77,1.106999,0.310759,0.298211,0.148121,2.743299,0.493999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,unk,10,17.767715,2,0,47.9006,1149,33.281501,6,16.6875,0,8,1.56974,2.5996,0.28997,5.49946,0.899963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,8,11.587007,1,0.112597,48.205101,2012,2.5,6,60,0,5.25,1.31279,2.62224,0.395361,7.975029,1.27443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,8,11.540945,1,0.109919,48.205101,2012,2.5,6,60,0,5.25,0.867947,2.512959,0.31014,4.731989,1.092499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,29,56.674411,119,0.168935,13.4216,15,1.419,1.707,60,0,5,0.88229,1.64898,0.237718,8.400079,0.82371,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,c,unk,40,16.937007,8,0.040107,68.812599,678,28.361,6,26.1875,5,4.902999,0.258123,1.117799,0.068942,6.77366,0.519514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,carb,63,45.962989,199,0.051653,53.557201,62,1.955,3.66,60,0,2.15,0.36579,0.669275,0.240674,3.857899,0.264151,0.787425,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,c,unk,6,5.999212,1,0.130233,50.2943,488,0.5,6,60,25,3.5,0.567499,1.419669,0.175665,5.50532,0.65266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,carb_sdst,56,50.195667,262,0.129465,28.3512,324,3.529999,3.092499,58.799999,0,4.836999,0.294797,3.174959,0.352746,5.66576,0.255138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,39,4.781889,7,0.067861,63.858101,1378,2.4,6,60,46,2.829999,0.674,1.58342,0.11421,6.923719,0.941955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,c,sg,40,5.109448,8,0.067036,63.858101,1378,2.4,6,60,46,2.829999,0.674,1.58342,0.11421,6.923719,0.941955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,35,5.076771,7,0.064991,63.858101,1378,2.144999,4.065,59,12,4.040999,0.674,1.58342,0.11421,6.923719,0.941955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
