date,city,precipitation
2019-02-24,STL,0.0
2019-02-25,STL,0.0
2019-02-26,STL,0.0
2019-02-27,STL,0.0
2019-02-28,STL,0.04
2019-03-01,STL,0.0
2019-03-02,STL,0.0
2019-03-03,STL,0.22
2019-03-04,STL,0.0
2019-03-05,STL,0.0
2019-03-06,STL,0.0
2019-03-07,STL,0.0
2019-03-08,STL,0.0
2019-03-09,STL,1.28
2019-03-10,STL,0.0
2019-03-11,STL,0.0
2019-03-12,STL,0.14
2019-03-13,STL,0.93
2019-03-14,STL,0.0
2019-03-15,STL,0.0
2019-03-16,STL,0.0
2019-03-17,STL,0.0
2019-03-18,STL,0.0
2019-03-19,STL,0.0
2019-03-20,STL,0.02
2019-03-21,STL,0.0
2019-03-22,STL,0.0
2019-03-23,STL,0.06
2019-03-24,STL,0.55
2019-03-25,STL,0.01
2019-03-26,STL,0.0
2019-03-27,STL,0.0
2019-03-28,STL,0.66
2019-03-29,STL,0.11
2019-03-30,STL,1.65
2019-03-31,STL,0.0
2019-04-01,STL,0.0
2019-04-02,STL,0.0
2019-04-03,STL,0.0
2019-04-04,STL,0.45
2019-04-05,STL,0.0
2019-04-06,STL,0.0
2019-04-07,STL,0.1
2019-04-08,STL,0.0
2019-04-09,STL,0.0
2019-04-10,STL,0.0
2019-04-11,STL,0.11
2019-04-12,STL,0.0
2019-04-13,STL,0.25
2019-04-14,STL,0.66
2019-04-15,STL,0.0
2019-04-16,STL,0.0
2019-04-17,STL,0.35
2019-04-18,STL,1.58
2019-04-19,STL,0.0
2019-04-20,STL,0.0
2019-04-21,STL,0.0
2019-04-22,STL,0.0
2019-04-23,STL,0.01
2019-04-24,STL,0.63
2019-04-25,STL,0.14
2019-04-26,STL,0.0
2019-04-27,STL,0.09
2019-04-28,STL,0.0
2019-04-29,STL,0.03
2019-04-30,STL,2.36
2019-05-01,STL,0.25
2019-05-02,STL,1.32
2019-05-03,STL,0.03
2019-05-04,STL,0.19
2019-05-05,STL,0.0
2019-05-06,STL,0.0
2019-05-07,STL,0.1
2019-05-08,STL,1.07
2019-05-09,STL,0.06
2019-05-10,STL,0.0
2019-05-11,STL,0.42
2019-05-12,STL,0.02
2019-05-13,STL,0.0
2019-05-14,STL,0.0
2019-05-15,STL,0.12
2019-05-16,STL,0.0
2019-05-17,STL,0.0
2019-05-18,STL,0.0
2019-05-19,STL,0.13
2019-05-20,STL,0.0
2019-05-21,STL,1.79
2019-05-22,STL,0.0
2019-05-23,STL,0.18
2019-05-24,STL,0.0
2019-05-25,STL,0.0
2019-05-26,STL,0.96
2019-05-27,STL,0.01
2019-05-28,STL,0.0
2019-05-29,STL,0.84
2019-05-30,STL,0.0
2019-05-31,STL,0.0
2019-06-01,STL,1.12
2019-06-02,STL,0.0
2019-06-03,STL,0.0
2019-06-04,STL,0.08
2019-06-05,STL,0.46
2019-06-06,STL,0.08
2019-06-07,STL,0.0
2019-06-08,STL,0.0
2019-06-09,STL,0.0
2019-06-10,STL,0.0
2019-06-11,STL,0.0
2019-06-12,STL,0.22
2019-06-13,STL,0.0
2019-06-14,STL,0.01
2019-06-15,STL,0.5
2019-06-16,STL,0.03
2019-06-17,STL,0.11
2019-06-18,STL,0.0
2019-06-19,STL,0.01
2019-06-20,STL,0.0
2019-06-21,STL,1.09
2019-06-22,STL,0.59
2019-06-23,STL,0.07
2019-06-24,STL,0.0
2019-06-25,STL,0.0
2019-06-26,STL,0.22
2019-06-27,STL,0.0
2019-06-28,STL,0.07
2019-06-29,STL,0.0
2019-06-30,STL,0.0
2019-07-01,STL,0.0
2019-07-02,STL,0.57
2019-07-03,STL,0.03
2019-07-04,STL,0.17
2019-07-05,STL,0.01
2019-07-06,STL,0.0
2019-07-07,STL,0.0
2019-07-08,STL,0.0
2019-07-09,STL,0.0
2019-07-10,STL,0.0
2019-07-11,STL,0.0
2019-07-12,STL,0.0
2019-07-13,STL,0.0
2019-07-14,STL,0.0
2019-07-15,STL,0.52
2019-07-16,STL,0.07
2019-07-17,STL,0.31
2019-07-18,STL,0.0
2019-07-19,STL,0.0
2019-07-20,STL,0.0
2019-07-21,STL,0.0
2019-07-22,STL,3.3
2019-07-23,STL,0.0
2019-07-24,STL,0.0
2019-07-25,STL,0.0
2019-07-26,STL,0.0
2019-07-27,STL,0.0
2019-07-28,STL,0.0
2019-07-29,STL,0.72
2019-07-30,STL,0.0
2019-07-31,STL,0.0
2019-08-01,STL,0.0
2019-08-02,STL,0.0
2019-08-03,STL,0.0
2019-08-04,STL,0.0
2019-08-05,STL,0.0
2019-08-06,STL,0.3
2019-08-07,STL,0.0
2019-08-08,STL,0.0
2019-08-09,STL,0.0
2019-08-10,STL,0.0
2019-08-11,STL,0.0
2019-08-12,STL,2.68
2019-08-13,STL,0.35
2019-08-14,STL,0.0
2019-08-15,STL,0.0
2019-08-16,STL,0.0
2019-08-17,STL,0.12
2019-08-18,STL,0.0
2019-08-19,STL,0.0
2019-08-20,STL,0.07
2019-08-21,STL,0.04
2019-08-22,STL,0.11
2019-08-23,STL,0.0
2019-08-24,STL,0.0
2019-08-25,STL,0.3
2019-08-26,STL,0.83
2019-08-27,STL,0.45
2019-08-28,STL,0.0
2019-08-29,STL,0.0
2019-08-30,STL,0.96
2019-08-31,STL,0.12
2019-09-01,STL,0.0
2019-09-02,STL,0.0
2019-09-03,STL,0.0
2019-09-04,STL,0.0
2019-09-05,STL,0.0
2019-09-06,STL,0.0
2019-09-07,STL,0.0
2019-09-08,STL,0.8
2019-09-09,STL,0.0
2019-09-10,STL,0.0
2019-09-11,STL,0.0
2019-09-12,STL,0.0
2019-09-13,STL,0.0
2019-09-14,STL,0.0
2019-09-15,STL,0.0
2019-09-16,STL,0.0
2019-09-17,STL,0.0
2019-09-18,STL,0.0
2019-09-19,STL,0.0
2019-09-20,STL,0.3
2019-09-21,STL,0.02
2019-09-22,STL,0.5
2019-09-23,STL,0.0
2019-09-24,STL,0.0
2019-09-25,STL,0.0
2019-09-26,STL,0.04
2019-09-27,STL,0.0
2019-09-28,STL,0.02
2019-09-29,STL,0.0
2019-09-30,STL,0.0
2019-10-01,STL,0.0
2019-10-02,STL,0.0
2019-10-03,STL,0.0
2019-10-04,STL,0.0
2019-10-05,STL,0.0
2019-10-06,STL,0.0
2019-10-07,STL,0.0
2019-10-08,STL,0.0
2019-10-09,STL,0.0
2019-10-10,STL,0.94
2019-10-11,STL,0.14
2019-10-12,STL,0.0
2019-10-13,STL,0.0
2019-10-14,STL,0.0
2019-10-15,STL,0.0
2019-10-16,STL,0.0
2019-10-17,STL,0.0
2019-10-18,STL,0.0
2019-10-19,STL,0.0
2019-10-20,STL,0.0
2019-10-21,STL,0.15
2019-10-22,STL,0.0
2019-10-23,STL,0.0
2019-10-24,STL,0.01
2019-10-25,STL,0.0
2019-10-26,STL,1.25
2019-10-27,STL,0.0
2019-10-28,STL,0.0
2019-10-29,STL,0.84
2019-10-30,STL,0.47
2019-10-31,STL,0.03
2019-11-01,STL,0.0
2019-11-02,STL,0.0
2019-11-03,STL,0.0
2019-11-04,STL,0.04
2019-11-05,STL,0.02
2019-11-06,STL,0.01
2019-11-07,STL,0.0
2019-11-08,STL,0.0
2019-11-09,STL,0.0
2019-11-10,STL,0.0
2019-11-11,STL,0.3
2019-11-12,STL,0.0
2019-11-13,STL,0.0
2019-11-14,STL,0.0
2019-11-15,STL,0.0
2019-11-16,STL,0.0
2019-11-17,STL,0.01
2019-11-18,STL,0.01
2019-11-19,STL,0.0
2019-11-20,STL,0.0
2019-11-21,STL,0.18
2019-11-22,STL,0.01
2019-11-23,STL,0.09
2019-11-24,STL,0.0
2019-11-25,STL,0.0
2019-11-26,STL,0.23
2019-11-27,STL,0.01
2019-11-28,STL,0.05
2019-11-29,STL,1.1
2019-11-30,STL,1.5
2019-12-01,STL,0.01
2019-12-02,STL,0.0
2019-12-03,STL,0.0
2019-12-04,STL,0.0
2019-12-05,STL,0.0
2019-12-06,STL,0.0
2019-12-07,STL,0.0
2019-12-08,STL,0.02
2019-12-09,STL,0.0
2019-12-10,STL,0.0
2019-12-11,STL,0.0
2019-12-12,STL,0.0
2019-12-13,STL,0.0
2019-12-14,STL,0.11
2019-12-15,STL,0.23
2019-12-16,STL,0.3
2019-12-17,STL,0.0
2019-12-18,STL,0.0
2019-12-19,STL,0.0
2019-12-20,STL,0.0
2019-12-21,STL,0.0
2019-12-22,STL,0.0
2019-12-23,STL,0.0
2019-12-24,STL,0.0
2019-12-25,STL,0.0
2019-12-26,STL,0.0
2019-12-27,STL,0.0
2019-12-28,STL,0.44
2019-12-29,STL,0.75
2019-12-30,STL,0.0
2019-12-31,STL,0.0
2020-01-01,STL,0.0
2020-01-02,STL,0.0
2020-01-03,STL,0.0
2020-01-04,STL,0.0
2020-01-05,STL,0.0
2020-01-06,STL,0.0
2020-01-07,STL,0.0
2020-01-08,STL,0.0
2020-01-09,STL,0.76
2020-01-10,STL,2.16
2020-01-11,STL,1.41
2020-01-12,STL,0.0
2020-01-13,STL,0.0
2020-01-14,STL,0.0
2020-01-15,STL,0.01
2020-01-16,STL,0.0
2020-01-17,STL,0.79
2020-01-18,STL,0.74
2020-01-19,STL,0.0
2020-01-20,STL,0.0
2020-01-21,STL,0.0
2020-01-22,STL,0.07
2020-01-23,STL,0.49
2020-01-24,STL,0.01
2020-01-25,STL,0.0
2020-01-26,STL,0.0
2020-01-27,STL,0.0
2020-01-28,STL,0.01
2020-01-29,STL,0.04
2020-01-30,STL,0.0
