"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"DeadDist"	"DeadDistInd"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"BSADead25"	"BSADeadInd25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"BSADead5"	"BSADeadInd5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"BSADead1"	"BSADeadInd1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"	"BSADead15"	"BSADeadInd15"	"TreesPClus"	"BAPClus"	"NeighBSA9125"	"NeighBSA915"	"NeighBSA911"	"NeighBSA9115"
4020	16960	0	2211	766251.347	4334264.302	3	0	11	39.42920951	1	1	12.56395404	92.52536383	58.543236	0	0	0.960264901	11.79291515	186.4102611	114.534	0	0	0.963254593	11.18444739	435.7139644	259.93764	0	0	0.956810631	11.12249972	681.2491223	404.828604	0.332694	1	1	0.13635	58.543236	114.534	259.93764	405.161298
4021	16961	0	2211	766255.4943	4334265.32	3	0	7	42.51603189	1	1	11.86741097	98.00170619	60.681204	0	0	0.954545455	11.37666785	179.6481639	108.709128	0	0	0.948509485	11.06484949	414.6187405	246.395358	0	0	0.943048576	10.99862713	664.1381691	393.222492	0.13635	1	1	0.13635	60.681204	108.709128	246.395358	393.358842
4022	16962	0	2204	766245.7233	4334262.922	3	0	8	35.63574519	1	1	12.92938568	101.5861191	64.733526	0	0	0.987012987	12.46423455	207.5800496	130.48695	0	0	0.960526316	11.31195925	440.9727275	264.502638	0.13635	1	0.958405546	11.34379739	674.92261	403.552368	0.332694	1	1	0.13635	64.733526	130.48695	264.638988	403.885062
4023	16963	0	2211	766253.6716	4334265.075	3	0	9	41.03363974	1	1	12.31347317	97.61176167	61.19388	0	0	0.954545455	11.48771224	182.4803018	110.841642	0	0	0.952506596	11.10575215	428.3396679	254.94723	0	0	0.948844884	11.03817568	678.2205839	402.036156	0.13635	1	1	0.13635	61.19388	110.841642	254.94723	402.172506
4024	16964	0	2211	766253.5242	4334265.849	3	0	21	40.52987988	1	1	12.25071426	98.05224833	61.390224	0	0	0.953947368	11.53969123	181.5436044	110.394414	0	0	0.95	11.11518639	430.144417	256.054392	0	0	0.948590381	11.06114086	677.2569074	401.708916	0.13635	1	1	0.13635	61.390224	110.394414	256.054392	401.845266
4025	16965	0	2211	766257.091	4334266.803	3	0	12	43.28238766	1	1	11.77866045	93.00776792	57.506976	0	0	0.949685535	11.26803237	182.5951651	110.105352	0	0	0.944303797	11.03263284	441.8315027	262.222866	0	0	0.937288136	11.03213396	659.5719026	390.975444	0.13635	1	1	0.13635	57.506976	110.105352	262.222866	391.111794
4026	16966	0	2211	766257.0528	4334267.467	3	0	5	42.9694089	1	1	11.84313051	95.13400933	58.9032	0	0	0.944099379	11.26088156	184.8487354	111.348864	0	0	0.94235589	10.98426763	442.9492251	262.561014	0	0	0.93559322	11.03936466	660.2734012	391.48812	0.13635	1	1	0.13635	58.9032	111.348864	262.561014	391.62447
4027	16967	0	2211	766258.6348	4334268.443	3	0	9	44.0342426	1	1	11.63782731	98.72101532	60.572124	0	0	0.946428571	11.23159871	191.9874471	115.586622	0	0	0.941176471	10.98338763	452.1404963	268.440426	0	0	0.933560477	11.0165587	656.4020905	388.548414	0	0	1	0.13635	60.572124	115.586622	268.440426	388.548414
4028	16968	0	2211	766255.7739	4334269.661	3	0	13	40.92509352	1	0.987341772	12.15042844	102.0098262	63.610002	0	0	0.947976879	11.40986289	203.590551	122.834988	0	0	0.946210269	10.92181595	449.9188721	266.089752	0	0	0.940099834	11.10697979	680.2309814	403.699626	0.13635	1	1	0.13635	63.610002	122.834988	266.089752	403.835976
4029	16969	0	2211	766255.18	4334269.801	3	0	6	40.32265222	1	0.987654321	12.27312632	106.5060834	66.544254	0	0	0.948275862	11.37879657	203.721817	122.873166	0	0	0.946210269	10.94060426	451.2264483	267.006024	0	0	0.936981758	11.1259616	683.2537185	405.755784	0.332694	1	1	0.13635	66.544254	122.873166	267.006024	406.088478
