"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"
50	13100	0	2119	766283.4498	4333862.764	1	0	8	0.794871795	8.458041235	28.9241763712535	15.21666	0.738095238	10.85784772	85.7695961371432	54.010962	0.748031496	12.18363431	156.700180069078	102.818808	0.74375	13.05014368	219.16381521425	148.616046
51	13101	0	2119	766280.0671	4333853.679	1	0	7	0.821428571	8.782084035	44.292951031591	23.555826	0.747126437	10.58951987	87.2171905341674	53.209224	0.701612903	11.90079965	145.747839325585	95.783148	0.721854305	12.29170829	187.416756820877	124.427556
52	13102	0	2119	766280.0206	4333850.007	1	0	11	0.788461538	9.014944857	43.0708550649102	23.048604	0.729411765	10.11870719	80.9483740699508	47.466162	0.694214876	11.28335276	131.518356621681	84.01887	0.713286713	11.99737734	170.303621644136	112.259682
55	13105	0	2114	766279.6241	4333839.384	1	1	8	0.566666667	12.0124935	37.4326290507191	23.610366	0.698412698	11.89504365	76.5199658444536	48.616956	0.724770642	10.8581344	113.342404655943	70.089354	0.689922481	11.02639539	135.107133278746	85.540536
56	13106	0	2114	766277.2317	4333841.53	1	1	11	0.65	12.05093357	50.29916700158	31.682286	0.736111111	11.55782563	83.5830190299688	52.456572	0.710526316	11.2222367	123.182431402343	78.303078	0.700729927	11.16792853	146.495512636037	93.192498
58	13108	0	2114	766278.3881	4333836.745	1	1	4	0.555555556	13.01139102	38.0802758677038	24.930234	0.684210526	12.16912977	71.5786301391831	46.037214	0.721153846	11.0021851	110.375706919688	68.660406	0.692913386	11.07810496	133.978865073368	85.006044
59	13109	0	2114	766277.036	4333836.662	1	1	8	0.535714286	14.05601041	44.2268838922716	30.171528	0.696428571	12.25109325	71.1381434828442	45.84087	0.718446602	11.01146798	109.375706919688	68.115006	0.6953125	11.1039126	135.694937041706	86.075028
61	13111	0	2114	766274.9402	4333838.542	1	1	7	0.617647059	13.2476413	48.7512835207925	32.544018	0.709677419	12.37713813	79.9733002916157	51.802092	0.710280374	10.5524945	106.628303456627	64.98441	0.697841727	11.10997996	147.528266123343	93.574278
65	13115	0	2114	766270.4316	4333841.869	1	1	11	0.7	12.523977	52.1489151288807	34.218396	0.732394366	11.80594264	84.5559693508069	53.972784	0.700854701	11.1178612	124.475693413354	78.875748	0.711409396	11.33119469	161.915262811512	104.340474
71	13121	0	2119	766265.2302	4333847.434	1	0	8	0.735849057	12.02513092	64.4814277103604	41.799456	0.735632184	10.88814604	90.2383695647277	56.252556	0.701612903	10.9754124	129.195520378108	81.466398	0.716129032	11.84823384	180.734016769651	118.673586
72	13122	0	2119	766265.2487	4333847.763	1	0	5	0.75	11.35358297	58.3348196857925	36.558162	0.727272727	10.84498208	90.6788562210666	56.4489	0.706349206	10.91016709	129.964742724498	81.799092	0.717948718	11.84298992	181.899310097149	119.33352
73	13123	0	2119	766269.1546	4333849.668	1	0	9	0.796296296	10.91804487	57.4537273550414	35.107398	0.706521739	10.85226885	95.3931575673977	59.09409	0.713178295	11.19108172	138.759257109005	88.114824	0.720496894	11.99378721	192.654217594002	126.31464
74	13124	0	2119	766262.2599	4333852.914	1	0	7	0.788461538	10.43385761	51.6163442745122	30.875094	0.709677419	11.19955836	98.9037849888293	63.62091	0.721804511	11.24404604	143.779251900639	91.70901	0.756906077	12.91493632	245.615535840733	164.65626
75	13125	0	2119	766266.1633	4333851.828	1	0	9	0.773584906	10.04893686	50.208833915108	29.189808	0.723404255	11.2557314	101.106103438448	64.951686	0.709923664	11.08950401	138.654545505324	87.86394	0.740112994	12.79587681	235.421503670677	158.062374
76	13126	0	2119	766264.4744	4333853.747	1	0	11	0.807692308	9.992304731	48.673304840392	28.317168	0.719101124	11.05603704	92.9356154643663	59.334066	0.706766917	11.04502065	139.81255899173	88.49115	0.763736264	13.00570458	249.787458219279	167.90139
77	13127	0	2119	766267.0001	4333854.03	1	0	11	0.811320755	9.980169016	49.5527090822103	28.791666	0.734042553	11.00676774	97.9229830201068	62.110152	0.707692308	11.12343334	138.325809815273	87.72759	0.745762712	12.85226793	237.574516991691	159.458598
78	13128	0	2119	766264.0668	4333856.691	1	0	7	0.82	8.481745103	37.0849861242727	19.618038	0.736263736	10.42134327	86.9816159114588	53.901882	0.711111111	11.14550233	144.282330409858	91.46358	0.768817204	13.05777073	258.494813180971	172.968156
79	13129	0	2119	766267.0644	4333856.206	1	0	13	0.833333333	8.536414374	40.5364713600214	21.46149	0.744680851	10.48250823	91.1885712325796	56.334366	0.704545455	11.3210718	144.11016192371	92.270772	0.754098361	13.10299678	254.263921105928	171.359226
80	13130	0	2119	766269.3907	4333856.684	1	0	11	0.849056604	8.644989824	40.643601567281	21.603294	0.736263736	10.65595845	90.8967148406668	56.356182	0.701492537	11.46506699	149.077276365797	96.066756	0.751412429	12.81661175	236.636818795738	158.57505
81	13131	0	2119	766272.3863	4333854.652	1	0	10	0.833333333	8.621678104	41.3513077073718	21.892356	0.733333333	10.5483016	89.0263344522358	54.616356	0.702290076	11.30392082	142.622441423047	91.294506	0.73964497	12.57239392	218.488208882106	145.692702
82	13132	0	2119	766272.2457	4333857.768	1	0	5	0.87037037	9.756289519	47.2640613260136	28.03356	0.738636364	9.964140249	80.2041600874245	47.651598	0.705882353	11.80665316	158.310605961554	103.396932	0.752808989	12.97815797	243.013173090506	163.516374
83	13133	0	2113	766236.9711	4333839.762	1	1	27	0.793103448	12.9561595	37.8482488397149	26.550072	0.711538462	13.73933153	75.9238452584792	53.536464	0.762376238	14.16452129	158.511858228485	110.519856	0.768707483	14.63803637	245.30693055044	171.790092
84	13134	0	2118	766236.4374	4333850.72	1	0	14	0.828571429	9.683564869	30.5371690575757	17.900028	0.813333333	13.34516142	106.20827860836	72.849078	0.792	14.05133446	196.090344692731	134.60472	0.786982249	14.74035639	287.163329304836	200.27088
86	13136	0	2119	766246.436	4333847.929	1	0	5	0.853658537	10.57147566	40.4565916042675	24.990228	0.766233766	11.48742961	86.4597757210948	55.418094	0.731343284	13.41418274	191.505452680866	131.506848	0.776470588	13.68038527	254.617239549394	173.524464
87	13137	0	2119	766246.4548	4333845.871	1	0	7	0.810810811	11.56766229	41.1672862848116	27.002754	0.789473684	12.22648118	93.1572619802275	61.962894	0.728682171	12.95938797	175.54305959114	118.16091	0.763975155	13.54380975	236.240841925677	161.072982
88	13138	0	2114	766247.3773	4333842.124	1	0	5	0.696969697	13.92947605	49.8733890470543	34.921962	0.767123288	12.78644402	95.5584931486913	65.09349	0.714285714	12.74672474	157.248412145513	105.45309	0.75	13.35487043	223.180600044951	151.746642
90	13140	0	2114	766245.8989	4333833.917	1	1	5	0.631578947	15.97366253	35.459387806348	26.440992	0.693877551	14.45612645	78.1497030061914	55.84896	0.729166667	12.48499099	121.994737221288	81.613656	0.7265625	13.37821223	183.418913615059	124.945686
93	13143	0	2113	766231.7574	4333830.809	1	1	10	0.545454545	18.27815388	25.5967108658333	20.04345	0.741935484	14.56132748	49.7280807011822	35.849142	0.712121212	16.6114236	133.73647982967	99.328248	0.8	15.25179961	204.814645875656	145.899954
94	13144	0	2113	766229.6156	4333830.419	1	1	5	0.5	19.15724406	30.5209466688365	24.019416	0.733333333	14.76143624	49.2875940448433	35.652798	0.725806452	16.32186343	121.818841702905	90.083718	0.789473684	15.41160419	206.868560819038	147.677958
