TreeNum	RecordNum	Response	Elevation	Easting	Northing	ElevCat	IndEdge15M	IndDBHIn	DeadDist	DeadDistInd	PropJP25	NeighQMD25	NeighSDIAlt25	NeighBSA25	BSADead25	BSADeadInd25	PropJP5	NeighQMD5	NeighSDIAlt5	NeighBSA5	BSADead5	BSADeadInd5	PropJP1	NeighQMD1	NeighSDIAlt1	NeighBSA1	BSADead1	BSADeadInd1	PropJP15	NeighQMD15	NeighSDIAlt15	NeighBSA15	BSADead15	BSADeadInd15	TreesPClus	BAPClus	NeighBSA9125	NeighBSA915	NeighBSA911	NeighBSA9115	BSADead25NEW	BSADeadInd25NEW	BSADead5NEW	BSADeadInd5NEW	BSADead1NEW	BSADeadInd1NEW	BSADead15NEW	BSADeadInd15NEW
27	13077	0	2119	766304.8408	4333852.417	1	1	7	85.17377148	0	0.642857143	9.888665951	25.6168409	14.933052	0	0	0.7	10.97838786	41.91873865	26.293734	0	0	0.732394366	10.49748461	69.95616089	42.672096	0	0	0.73	12.1445461	122.5335572	80.441046	0	0	9	13.378662	14.933052	26.293734	42.672096	80.441046	0	0	0	0	0	0	0	0
29	13079	0	2114	766300.2426	4333834.799	1	1	8	92.34987278	0	0.5	10.39230485	8.436521088	4.712256	0	0	0.666666667	9.181503145	25.78499345	13.793166	0	0	0.644067797	10.70719701	61.07268278	36.890856	0	0	0.703296703	11.69248843	105.6287153	67.853214	0	0	9	13.378662	4.712256	13.793166	36.890856	67.853214	0	0	0	0	0	0	0	0
32	13082	0	2114	766291.7331	4333840.321	1	1	13	82.38427996	0	0.653846154	9.271544556	22.67688925	12.18969	0	0	0.74	9.679876032	45.21665649	25.55199	0	0	0.711111111	10.83358974	93.8423132	57.610602	0	0	0.705357143	12.02638468	133.9286982	88.349346	0	0	9	13.378662	12.18969	25.55199	57.610602	88.349346	0	0	0	0	0	0	0	0
34	13084	0	2119	766289.0672	4333845.049	1	1	11	77.18674906	0	0.666666667	8.974711948	27.27245334	14.496732	0	0	0.742424242	9.835772682	61.00492583	34.82379	0	0	0.718446602	11.32400149	113.6123454	72.036432	0	0	0.701612903	11.91299101	146.0488679	95.979492	0	0	9	13.378662	14.496732	34.82379	72.036432	95.979492	0	0	0	0	0	0	0	0
35	13085	0	2119	766289.4756	4333848.2	1	0	10	75.36859454	0	0.714285714	9.022458751	34.91851738	18.647226	0	0	0.739130435	9.311050004	58.76114417	32.625828	0	0	0.726415094	11.79102633	123.0331563	80.375598	0	0	0.708661417	12.10648294	153.4256445	101.520756	0	0	9	13.378662	18.647226	32.625828	80.375598	101.520756	0	0	0	0	0	0	0	0
36	13086	0	2119	766289.9505	4333851.553	1	0	11	73.56664343	0	0.697674419	9.920615135	40.34981549	23.081328	0	0	0.743243243	9.176939371	61.55807364	33.989328	0	0	0.710280374	11.77911981	124.0074599	80.970084	0	0	0.717557252	12.33378034	163.1168441	108.687312	0	0	9	13.378662	23.081328	33.989328	80.970084	108.687312	0	0	0	0	0	0	0	0
38	13088	0	2119	766293.8985	4333856.933	1	0	10	73.54017427	0	0.744186047	9.585599665	37.92283143	21.548754	0	0	0.714285714	10.15592719	59.24208047	35.440092	0	0	0.75	11.42365966	115.3070354	74.021688	0	0	0.740740741	12.99829049	183.3951053	124.400286	0	0	9	13.378662	21.548754	35.440092	74.021688	124.400286	0	0	0	0	0	0	0	0
39	13089	0	2119	766290.9695	4333857.784	1	0	9	70.64050311	0	0.75	9.666954019	35.65972589	20.387052	0	0	0.75	10.51652139	71.33294547	43.430202	0	0	0.745454545	11.51125931	123.6638441	79.497504	0	0	0.742647059	12.96063043	183.835592	124.59663	0	0	9	13.378662	20.387052	43.430202	79.497504	124.59663	0	0	0	0	0	0	0	0
40	13090	0	2119	766289.9114	4333859.33	1	0	6	68.89431274	0	0.761904762	9.322272357	35.15818298	19.9071	0	0	0.742857143	10.60121287	70.21528988	42.906618	0	0	0.745614035	11.59968239	129.6077337	83.658906	0	0	0.739130435	13.20024154	192.263686	131.146884	0	0	9	13.378662	19.9071	42.906618	83.658906	131.146884	0	0	0	0	0	0	0	0
42	13092	0	2119	766294.2081	4333859.869	1	0	8	72.20680723	0	0.75	9.374772725	37.40382371	21.090618	0	0	0.73015873	10.7038044	63.76332704	39.366972	0	0	0.761904762	11.31244574	114.6219712	73.285398	0	0	0.744360902	13.07813419	182.625883	124.067592	0	0	9	13.378662	21.090618	39.366972	73.285398	124.067592	0	0	0	0	0	0	0	0
45	13095	0	2119	766274.674	4333847.069	1	0	11	65.85806975	0	0.777777778	10.53565375	46.27784827	27.24273	0	0	0.710843373	11.27851139	91.8408506	57.583332	0	0	0.696721311	10.97052683	127.0223014	80.081082	0	0	0.707482993	11.57906861	165.28913	107.492886	0	0	9	13.378662	27.24273	57.583332	80.081082	107.492886	0	0	0	0	0	0	0	0
47	13097	0	2119	766277.9472	4333861.011	1	0	9	58.28704538	0	0.836734694	9.970364249	44.42873309	26.566434	0	0	0.769230769	9.957050625	82.23695574	49.205988	0	0	0.71641791	12.22366191	164.5658533	109.199988	0	0	0.744186047	13.19971811	240.9795599	163.445472	0	0	9	13.378662	26.566434	49.205988	109.199988	163.445472	0	0	0	0	0	0	0	0
48	13098	0	2119	766278.1164	4333860.661	1	0	13	58.63996335	0	0.833333333	10.03639211	43.98824643	26.37009	0	0	0.769230769	9.957050625	82.23695574	49.205988	0	0	0.71641791	12.22366191	164.5658533	109.199988	0	0	0.744186047	13.19971811	240.9795599	163.445472	0	0	9	13.378662	26.37009	49.205988	109.199988	163.445472	0	0	0	0	0	0	0	0
50	13100	0	2119	766283.4498	4333862.764	1	0	8	61.6233195	0	0.794871795	8.458041235	28.92417637	15.21666	0	0	0.738095238	10.85784772	85.76959614	54.010962	0	0	0.748031496	12.18363431	156.7001801	102.818808	0	0	0.74375	13.05014368	219.1638152	148.616046	0	0	9	13.378662	15.21666	54.010962	102.818808	148.616046	0	0	0	0	0	0	0	0
51	13101	0	2119	766280.0671	4333853.679	1	0	7	64.71828558	0	0.821428571	8.782084035	44.29295103	23.555826	0	0	0.747126437	10.58951987	87.21719053	53.209224	0	0	0.701612903	11.90079965	145.7478393	95.783148	0	0	0.721854305	12.29170829	187.4167568	124.427556	0	0	9	13.378662	23.555826	53.209224	95.783148	124.427556	0	0	0	0	0	0	0	0
52	13102	0	2119	766280.0206	4333850.007	1	0	11	67.25080478	0	0.788461538	9.014944857	43.07085506	23.048604	0	0	0.729411765	10.11870719	80.94837407	47.466162	0	0	0.694214876	11.28335276	131.5183566	84.01887	0	0	0.713286713	11.99737734	170.3036216	112.259682	0	0	9	13.378662	23.048604	47.466162	84.01887	112.259682	0	0	0	0	0	0	0	0
55	13105	0	2114	766279.6241	4333839.384	1	1	8	74.94566371	0	0.566666667	12.0124935	37.43262905	23.610366	0	0	0.698412698	11.89504365	76.51996584	48.616956	0	0	0.724770642	10.8581344	113.3424047	70.089354	0	0	0.689922481	11.02639539	135.1071333	85.540536	0	0	9	13.378662	23.610366	48.616956	70.089354	85.540536	0	0	0	0	0	0	0	0
56	13106	0	2114	766277.2317	4333841.53	1	1	11	71.77783652	0	0.65	12.05093357	50.299167	31.682286	0	0	0.736111111	11.55782563	83.58301903	52.456572	0	0	0.710526316	11.2222367	123.1824314	78.303078	0	0	0.700729927	11.16792853	146.4955126	93.192498	0	0	9	13.378662	31.682286	52.456572	78.303078	93.192498	0	0	0	0	0	0	0	0
58	13108	0	2114	766278.3881	4333836.745	1	1	4	76.28136584	0	0.555555556	13.01139102	38.08027587	24.930234	0	0	0.684210526	12.16912977	71.57863014	46.037214	0	0	0.721153846	11.0021851	110.3757069	68.660406	0	0	0.692913386	11.07810496	133.9788651	85.006044	0	0	9	13.378662	24.930234	46.037214	68.660406	85.006044	0	0	0	0	0	0	0	0
59	13109	0	2114	766277.036	4333836.662	1	1	8	75.54946306	0	0.535714286	14.05601041	44.22688389	30.171528	0	0	0.696428571	12.25109325	71.13814348	45.84087	0	0	0.718446602	11.01146798	109.3757069	68.115006	0	0	0.6953125	11.1039126	135.694937	86.075028	0	0	9	13.378662	30.171528	45.84087	68.115006	86.075028	0	0	0	0	0	0	0	0
61	13111	0	2114	766274.9402	4333838.542	1	1	7	72.80134528	0	0.617647059	13.2476413	48.75128352	32.544018	0	0	0.709677419	12.37713813	79.97330029	51.802092	0	0	0.710280374	10.5524945	106.6283035	64.98441	0	0	0.697841727	11.10997996	147.5282661	93.574278	0	0	9	13.378662	32.544018	51.802092	64.98441	93.574278	0	0	0	0	0	0	0	0
