"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"DeadDist"	"DeadDistInd"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"BSADead25"	"BSADeadInd25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"BSADead5"	"BSADeadInd5"	"PropJP1"	"NeighQMD1"	"NeighBSA1"	"BSADead1"	"BSADeadInd1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"	"BSADead15"	"BSADeadInd15"	"TreesPClus"	"BAPClus"	"NeighBSA9125"	"NeighBSA915"	"NeighBSA911"	"NeighBSA9115"	"NeighSDIAlt1"	"BSADead25NEW"	"BSADeadInd25NEW"	"BSADead5NEW"	"BSADeadInd5NEW"	"BSADead1NEW"	"BSADeadInd1NEW"	"BSADead15NEW"	"BSADeadInd15NEW"
7015	9585	0	2185	766014.0731	4334370.578	2	0	7	8.625644512	1	0.1625	10.81371851	68.80210118	40.179618	8.464608	1	0.281553398	10.17654615	149.5718944	86.41863	25.721064	1	0.462616822	9.988316528	181.738188	48.426066	1	0.519626168	10.64018125	451.7856324	266.12793	56.69433	1	203	179.240256	48.644226	112.139694	230.164254	322.82226	317.74709824306	8.464608	1	25.721064	1	47.711592	1	53.007426	1
7016	9584	0	2195	766031.97	4334372.407	2	0	6	3.633581111	1	0.467836257	8.341907011	103.499213	54.272754	11.731554	1	0.53046595	9.238812074	202.0300542	111.2616	17.900028	1	0.539419087	10.02328959	219.725298	39.765114	1	0.57605178	10.70705032	551.6781591	323.880336	51.016716	1	203	179.240256	66.004308	129.161628	259.490412	374.897052	386.088434308448	11.731554	1	17.321904	1	39.05064	1	49.047822	1
7017	9586	0	2185	766029.2187	4334372.912	2	0	4	5.419321213	1	0.436241611	8.470171288	89.72821261	47.346174	11.731554	1	0.5	9.25346184	204.349776	112.548744	19.127178	1	0.534836066	9.980693894	221.121522	39.765114	1	0.570723684	10.65446932	536.9623072	314.515818	51.016716	1	203	179.240256	59.077728	131.675922	260.886636	365.532534	389.30081862039	11.731554	1	18.549054	1	39.05064	1	49.047822	1
7018	9587	0	2195	766037.5249	4334373.637	2	0	5	2.768394112	1	0.523316062	8.942932847	133.7161645	72.843624	10.913454	1	0.585714286	9.210204604	205.6959513	112.886892	15.249384	1	0.596273292	10.11367372	233.747532	30.635118	1	0.597791798	10.6953946	573.7694522	336.277278	47.96793	1	203	179.240256	83.757078	128.136276	264.38265	384.245208	408.268162461494	10.82619	1	14.67126	1	29.47887	1	44.553726	1
7019	9588	0	2195	766034.3897	4334374.908	2	0	4	3.39639523	1	0.528089888	8.688509428	117.9136518	62.9937	10.82619	1	0.556701031	9.225640888	210.3511512	115.586622	18.385434	1	0.561844864	10.19124066	228.84984	34.883784	1	0.584639498	10.63565232	567.8074857	331.914078	51.016716	1	203	179.240256	73.81989	133.972056	263.733624	382.930794	398.41779543652	10.82619	1	17.80731	1	33.46029	1	49.047822	1
7020	9589	0	2185	766029.1868	4334377.611	2	0	8	8.667534265	1	0.577464789	8.555515788	95.85434043	50.700384	7.319268	1	0.549152542	9.152971781	209.8494985	114.686712	19.667124	1	0.533477322	10.07170673	214.107678	35.94186	1	0.570731707	10.68269267	549.0815535	321.786	50.007726	1	203	179.240256	58.019652	134.353836	250.049538	371.793726	375.085816944322	7.319268	1	19.57986	1	34.518366	1	48.038832	1
7021	9590	0	2185	766028.8056	4334381.437	2	0	8	11.82782307	1	0.62	8.841330084	108.2522975	57.981474	7.166556	1	0.603636364	9.10112677	196.0415777	106.614792	17.458254	1	0.54214123	10.06177158	205.403094	32.222232	1	0.57781457	10.68199693	545.7182279	319.8771	44.80461	1	203	179.240256	65.14803	124.073046	237.625326	364.68171	359.629034633489	7.166556	1	17.458254	1	30.389688	1	42.835716	1
7022	9591	0	2195	766031.3597	4334382.645	2	0	6	11.12147589	1	0.635802469	9.039702219	121.5588107	65.960676	6.942942	1	0.635087719	9.19064742	210.7608173	115.172118	15.985674	1	0.565819861	10.08077298	206.73387	28.682586	1	0.592409241	10.65804249	552.3059945	323.400384	41.194062	1	1	0.441774	72.903618	131.157792	235.416456	364.594446	361.824294166699	6.942942	1	15.985674	1	26.850042	1	39.225168	1
7023	9592	0	2195	766033.6923	4334381.502	2	0	9	9.963132891	1	0.623529412	8.993504149	125.5309961	67.935024	7.979202	1	0.618729097	9.239547108	220.1774947	121.056984	17.240094	1	0.58013544	10.17567053	216.856494	28.240812	1	0.605769231	10.72501403	577.0557637	338.769756	41.194062	1	203	179.240256	75.914226	138.297078	245.097306	379.963818	377.542655097642	7.979202	1	17.240094	1	26.408268	1	39.225168	1
7024	9593	0	2189	766026.8999	4334390.922	2	0	8	4.695683508	1	0.712	9.361174015	99.92513106	54.48546	5.50854	1	0.686363636	9.749346196	185.2276915	104.19867	9.010008	1	0.60880829	10.22813306	193.993326	20.926998	1	0.583984375	10.44321187	455.7625119	264.693528	31.649562	1	1	0.441774	59.994	113.208678	214.920324	296.34309	337.724532692795	5.50854	1	8.300988	1	19.672578	1	29.817018	1
